Device name;OS;OS version;Last check-in;Category;Model;Serial number;DATE D'entree
PSN-25352524212957;Android (Dedicated);15;2026-07-06 15:16:13.5650000;SN - MBACKE;TC53E;25352524212957;05 juin 2026
PSN-25352524212958;Android (Dedicated);15;2026-07-07 12:54:26.7650000;SN - Entrepôt Thiaroye;TC53E;25352524212958;05 juin 2026
PSN-25352524212959;Android (Dedicated);15;2026-07-07 09:44:41.8310000;SN - Entrepôt Thiaroye;TC53E;25352524212959;05 juin 2026
PSN-25352524212961;Android (Dedicated);15;2026-07-04 08:41:08.0000000;SN - ALMADIES;TC53E;25352524212961;05 juin 2026
PSN-25352524212962;Android (Dedicated);15;2026-07-02 18:06:21.0000000;SN - TOTAL LIBERTE 6;TC53E;25352524212962;05 juin 2026
PSN-25352524212963;Android (Dedicated);15;2026-07-07 11:53:47.7680000;SN - MBOUR 2;TC53E;25352524212963;05 juin 2026
PSN-25352524212964;Android (Dedicated);15;2026-07-02 04:23:00.0000000;SN - POINT E2;TC53E;25352524212964;05 juin 2026
PSN-25352524212965;Android (Dedicated);15;2026-07-07 10:41:07.4230000;SN - E-COMMERCE;TC53E;25352524212965;05 juin 2026
PSN-25352524212970;Android (Dedicated);15;2026-07-07 08:13:49.3560000;SN - Entrepôt Thiaroye;TC53E;25352524212970;05 juin 2026
PSN-25352524212971;Android (Dedicated);15;2026-07-07 10:14:50.3900000;SN - Entrepôt Thiaroye;TC53E;25352524212971;05 juin 2026
PSN-25352524212972;Android (Dedicated);15;2026-07-07 07:12:47.8180000;;TC53E;25352524212972;05 juin 2026
PSN-25352524212973;Android (Dedicated);15;2026-06-19 19:47:21.0000000;SN - RUFISQUE NORD;TC53E;25352524212973;05 juin 2026
PSN-25352524212976;Android (Dedicated);15;2026-07-07 10:30:10.8940000;SN - SCAT URBAM 1;TC53E;25352524212976;05 juin 2026
PSN-25352524212978;Android (Dedicated);15;2026-07-07 12:30:36.4290000;SN - SACRE-COEUR;TC53E;25352524212978;05 juin 2026
PSN-25352524212981;Android (Dedicated);15;2026-07-07 07:06:30.9920000;SN - E-COMMERCE;TC53E;25352524212981;05 juin 2026
PSN-25352524212986;Android (Dedicated);15;2026-07-07 07:13:28.9310000;;TC53E;25352524212986;05 juin 2026
PSN-25352524212988;Android (Dedicated);15;2026-07-07 10:48:07.6950000;SN - NORD FOIRE;TC53E;25352524212988;05 juin 2026
PSN-25352524212989;Android (Dedicated);15;2026-07-07 07:45:44.4740000;;TC53E;25352524212989;05 juin 2026
PSN-25352524212991;Android (Dedicated);15;2026-07-01 23:37:55.0000000;SN - FANN RESIDENCE;TC53E;25352524212991;05 juin 2026
PSN-25352524212992;Android (Dedicated);15;2026-07-03 16:36:23.0000000;SN - KEUR MASSAR;TC53E;25352524212992;05 juin 2026
PSN-25352524212993;Android (Dedicated);15;2026-07-07 12:26:50.3060000;SN - SACRE-COEUR;TC53E;25352524212993;05 juin 2026
PSN-25352524212994;Android (Dedicated);15;2026-07-07 10:05:13.0340000;SN - E-COMMERCE;TC53E;25352524212994;05 juin 2026
PSN-25352524212995;Android (Dedicated);15;2026-07-06 08:56:25.4240000;SN - ALMADIES;TC53E;25352524212995;05 juin 2026
PSN-25352524212996;Android (Dedicated);15;2026-07-07 01:15:30.5320000;SN - HYPER MERMOZ;TC53E;25352524212996;05 juin 2026
PSN-25352524212998;Android (Dedicated);15;2026-07-07 08:02:19.2960000;SN - HYPER MERMOZ;TC53E;25352524212998;05 juin 2026
PSN-25352524212999;Android (Dedicated);15;2026-07-07 07:54:49.9180000;SN - Entrepôt Thiaroye;TC53E;25352524212999;05 juin 2026
PSN-25352524213000;Android (Dedicated);15;2026-07-07 11:00:30.0840000;SN - Entrepôt Thiaroye;TC53E;25352524213000;05 juin 2026
PSN-25352524213004;Android (Dedicated);15;2026-07-07 01:26:49.3120000;SN - Entrepôt Thiaroye;TC53E;25352524213004;05 juin 2026
PSN-25352524213006;Android (Dedicated);15;2026-07-07 07:17:28.2190000;;TC53E;25352524213006;05 juin 2026
PSN-25352524213008;Android (Dedicated);15;2026-07-07 07:30:15.2750000;SN - Entrepôt Thiaroye;TC53E;25352524213008;05 juin 2026
PSN-25352524213009;Android (Dedicated);15;2026-07-07 08:49:26.3350000;SN - Entrepôt Thiaroye;TC53E;25352524213009;05 juin 2026
PSN-25352524213010;Android (Dedicated);15;2026-07-06 20:10:11.9950000;SN - Entrepôt Thiaroye;TC53E;25352524213010;05 juin 2026
PSN-25353524219483;Android (Dedicated);15;2026-07-07 11:52:21.5550000;SN - Entrepôt Thiaroye;TC53E;25353524219483;05 juin 2026
PSN-25353524219484;Android (Dedicated);15;2026-07-05 06:19:00.0000000;SN - INEXTENSO MARISTES;TC53E;25353524219484;05 juin 2026
PSN-25353524219485;Android (Dedicated);15;2026-07-02 14:07:33.0000000;SN - OUAKAM RENAISSANCE;TC53E;25353524219485;05 juin 2026
PSN-25353524219486;Android (Dedicated);15;2026-07-03 15:36:38.0000000;SN - ZIGUINCHOR;TC53E;25353524219486;05 juin 2026
PSN-25353524219488;Android (Dedicated);15;2026-07-04 14:30:56.0000000;SN - ZAC MBAO;TC53E;25353524219488;05 juin 2026
PSN-25353524219489;Android (Dedicated);15;2026-07-07 01:01:10.9510000;SN - Entrepôt Thiaroye;TC53E;25353524219489;05 juin 2026
PSN-25353524219490;Android (Dedicated);15;2026-07-07 07:58:18.9610000;SN - Entrepôt Thiaroye;TC53E;25353524219490;05 juin 2026
PSN-25353524219491;Android (Dedicated);15;2026-07-06 13:07:48.4710000;SN - YOFF;TC53E;25353524219491;05 juin 2026
PSN-25353524219492;Android (Dedicated);15;2026-07-07 10:59:24.4660000;SN - Entrepôt Thiaroye;TC53E;25353524219492;05 juin 2026
PSN-25353524219493;Android (Dedicated);15;2026-07-07 05:30:35.5610000;SN - Entrepôt Thiaroye;TC53E;25353524219493;05 juin 2026
